"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20240709 1147130 31,328 202,407,090,000","7/9/2024","7/9/2024","Credit","313.28000","","348862067","Transfer from PayPal","Transfers","Deposit","3008.08000","","PAYPAL           TRANSFER"
"20240703 1147130 41,936 202,407,030,001","7/3/2024","7/3/2024","Credit","419.36000","","347855823","Transfer from PayPal","Transfers","Deposit","2969.29000","","PAYPAL           TRANSFER"
"20240701 1147130 28,594 202,407,010,000","7/1/2024","7/1/2024","Credit","285.94000","","347058057","Transfer from PayPal","Transfers","Deposit","3336.44000","","PAYPAL           TRANSFER"
"20240626 1147130 46,345 202,406,260,000","6/26/2024","6/26/2024","Credit","463.45000","","346087855","Transfer from PayPal","Transfers","Deposit","3356.97000","","PAYPAL           TRANSFER"
"20240624 1147130 33,402 202,406,240,000","6/24/2024","6/24/2024","Credit","334.02000","","345637118","Transfer from PayPal","Transfers","Deposit","2463.08000","","PAYPAL           TRANSFER"
"20240620 1147130 22,627 202,406,200,000","6/20/2024","6/20/2024","Credit","226.27000","","345017655","Transfer from PayPal","Transfers","Deposit","2344.41000","","PAYPAL           TRANSFER"
"20240617 1147130 13,034 202,406,170,000","6/17/2024","6/17/2024","Credit","130.34000","","344448550","Transfer from PayPal","Transfers","Deposit","2203.18000","","PAYPAL           TRANSFER"
"20240612 1147130 34,823 202,406,120,000","6/12/2024","6/12/2024","Credit","348.23000","","343637157","Transfer from PayPal","Transfers","Deposit","2211.58000","","PAYPAL           TRANSFER"
"20240610 1147130 38,113 202,406,100,001","6/10/2024","6/10/2024","Credit","381.13000","","343118010","Transfer from PayPal","Transfers","Deposit","2358.41000","","PAYPAL           TRANSFER"
"20240605 1147130 23,377 202,406,050,000","6/5/2024","6/5/2024","Credit","233.77000","","342424490","Transfer from PayPal","Transfers","Deposit","2188.99000","","PAYPAL           TRANSFER"
"20240603 1147130 24,776 202,406,030,000","6/3/2024","6/3/2024","Credit","247.76000","","341608393","Transfer from PayPal","Transfers","Deposit","2330.68000","","PAYPAL           TRANSFER"
"20240530 1147130 40,379 202,405,300,000","5/30/2024","5/30/2024","Credit","403.79000","","340763773","Transfer from PayPal","Transfers","Deposit","2165.80000","","PAYPAL           TRANSFER"
"20240528 1147130 11,844 202,405,280,001","5/28/2024","5/28/2024","Credit","118.44000","","340550967","Transfer from PayPal","Transfers","Deposit","1918.72000","","PAYPAL           TRANSFER"
"20240523 1147130 11,535 202,405,230,000","5/23/2024","5/23/2024","Credit","115.35000","","339659549","Transfer from PayPal","Transfers","Deposit","1854.08000","","PAYPAL           TRANSFER"
"20240520 1147130 5,121 202,405,200,000","5/20/2024","5/20/2024","Credit","51.21000","","338958599","Transfer from PayPal","Transfers","Deposit","1500.30000","","PAYPAL           TRANSFER"
"20240514 1147130 17,143 202,405,140,001","5/14/2024","5/14/2024","Credit","171.43000","","337962224","Transfer from PayPal","Transfers","Deposit","2244.40000","","PAYPAL           TRANSFER"
"20240507 1147130 2,002 202,405,070,000","5/7/2024","5/7/2024","Credit","20.02000","","336980590","Transfer from PayPal","Transfers","Deposit","2176.31000","","PAYPAL           TRANSFER"
"20240506 1147130 2,151 202,405,060,000","5/6/2024","5/6/2024","Credit","21.51000","","336527386","Transfer from PayPal","Transfers","Deposit","2243.02000","","PAYPAL           TRANSFER"
"20240226 1147130 1,179 202,402,260,001","2/26/2024","2/26/2024","Credit","11.79000","","322022852","Transfer from PayPal","Transfers","Deposit","2749.28000","","PAYPAL           TRANSFER"
"20240215 1147130 2,741 202,402,150,000","2/15/2024","2/15/2024","Credit","27.41000","","320295231","Transfer from PayPal","Transfers","Deposit","1519.89000","","PAYPAL           TRANSFER"
"20240108 1147130 1,295 202,401,080,000","1/8/2024","1/8/2024","Credit","12.95000","","313744839","Transfer from PayPal","Transfers","Deposit","1717.20000","","PAYPAL           TRANSFER"
